"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Percent Distribution",""
"        Estimate","2,989"
"        Margin of Error","±148"
"    Median income (dollars)",""
"        Estimate","73,818"
"        Margin of Error","±5,969"
"Gregory County, South Dakota",""
"    Number",""
"        Estimate","1,635"
"        Margin of Error","±78"
"    Percent Distribution",""
"        Estimate","1,635"
"        Margin of Error","±78"
"    Median income (dollars)",""
"        Estimate","52,432"
"        Margin of Error","±7,045"
"Haakon County, South Dakota",""
"    Number",""
"        Estimate","674"
"        Margin of Error","±64"
"    Percent Distribution",""
"        Estimate","674"
"        Margin of Error","±64"
"    Median income (dollars)",""
"        Estimate","59,231"
"        Margin of Error","±10,410"
"Hamlin County, South Dakota",""
"    Number",""
"        Estimate","2,181"
"        Margin of Error","±91"
"    Percent Distribution",""
"        Estimate","2,181"
"        Margin of Error","±91"
"    Median income (dollars)",""
"        Estimate","83,194"
"        Margin of Error","±4,451"
"Hand County, South Dakota",""
"    Number",""
"        Estimate","1,373"
"        Margin of Error","±95"
"    Percent Distribution",""
"        Estimate","1,373"
"        Margin of Error","±95"
"    Median income (dollars)",""
"        Estimate","72,054"
"        Margin of Error","±7,130"
"Hanson County, South Dakota",""
"    Number",""
"        Estimate","1,134"
"        Margin of Error","±45"
"    Percent Distribution",""
"        Estimate","1,134"
"        Margin of Error","±45"
"    Median income (dollars)",""
"        Estimate","86,375"
"        Margin of Error","±9,664"
"Harding County, South Dakota",""
"    Number",""
"        Estimate","493"
"        Margin of Error","±63"
"    Percent Distribution",""
"        Estimate","493"
"        Margin of Error","±63"
"    Median income (dollars)",""
"        Estimate","74,766"
"        Margin of Error","±10,221"
"Hughes County, South Dakota",""
"    Number",""
"        Estimate","7,316"
"        Margin of Error","±189"
"    Percent Distribution",""
"        Estimate","7,316"
"        Margin of Error","±189"
"    Median income (dollars)",""
"        Estimate","78,981"
"        Margin of Error","±6,010"
"Hutchinson County, South Dakota",""
"    Number",""
"        Estimate","2,944"
"        Margin of Error","±77"
"    Percent Distribution",""
"        Estimate","2,944"
"        Margin of Error","±77"
"    Median income (dollars)",""
"        Estimate","74,459"
"        Margin of Error","±6,805"
"Hyde County, South Dakota",""
"    Number",""
"        Estimate","535"
"        Margin of Error","±66"
"    Percent Distribution",""
"        Estimate","535"
"        Margin of Error","±66"
"    Median income (dollars)",""
"        Estimate","74,279"
"        Margin of Error","±19,209"
"Jackson County, South Dakota",""
"    Number",""
"        Estimate","740"
"        Margin of Error","±104"
"    Percent Distribution",""
"        Estimate","740"
"        Margin of Error","±104"
"    Median income (dollars)",""
"        Estimate","26,686"
"        Margin of Error","±16,608"
"Jerauld County, South Dakota",""
"    Number",""
"        Estimate","827"
"        Margin of Error","±66"
"    Percent Distribution",""
"        Estimate","827"
"        Margin of Error","±66"
"    Median income (dollars)",""
"        Estimate","75,417"
"        Margin of Error","±17,352"
"Jones County, South Dakota",""
"    Number",""
"        Estimate","355"
"        Margin of Error","±46"
"    Percent Distribution",""
"        Estimate","355"
"        Margin of Error","±46"
"    Median income (dollars)",""
"        Estimate","64,688"
"        Margin of Error","±12,036"
"Kingsbury County, South Dakota",""
"    Number",""
"        Estimate","2,031"
"        Margin of Error","±72"
"    Percent Distribution",""
"        Estimate","2,031"
"        Margin of Error","±72"
"    Median income (dollars)",""
"        Estimate","70,221"
"        Margin of Error","±8,941"
"Lake County, South Dakota",""
"    Number",""
"        Estimate","4,632"
"        Margin of Error","±204"
"    Percent Distribution",""
"        Estimate","4,632"
"        Margin of Error","±204"
"    Median income (dollars)",""
"        Estimate","73,792"
"        Margin of Error","±7,113"
"Lawrence County, South Dakota",""
"    Number",""
"        Estimate","11,812"
"        Margin of Error","±339"
"    Percent Distribution",""
"        Estimate","11,812"
"        Margin of Error","±339"
"    Median income (dollars)",""
"        Estimate","66,766"
"        Margin of Error","±5,800"
"Lincoln County, South Dakota",""
"    Number",""
"        Estimate","26,645"
"        Margin of Error","±302"
"    Percent Distribution",""
"        Estimate","26,645"
"        Margin of Error","±302"
"    Median income (dollars)",""
"        Estimate","96,552"
"        Margin of Error","±2,245"
"Lyman County, South Dakota",""
"    Number",""
"        Estimate","1,185"
"        Margin of Error","±71"
"    Percent Distribution",""
"        Estimate","1,185"
"        Margin of Error","±71"
"    Median income (dollars)",""
"        Estimate","61,169"
"        Margin of Error","±4,374"
"McCook County, South Dakota",""
"    Number",""
"        Estimate","2,218"
"        Margin of Error","±64"
"    Percent Distribution",""
"        Estimate","2,218"
"        Margin of Error","±64"
"    Median income (dollars)",""
"        Estimate","80,847"
"        Margin of Error","±3,746"
"McPherson County, South Dakota",""
"    Number",""
"        Estimate","896"
"        Margin of Error","±66"
"    Percent Distribution",""
"        Estimate","896"
"        Margin of Error","±66"
"    Median income (dollars)",""
"        Estimate","62,024"
"        Margin of Error","±5,163"
"Marshall County, South Dakota",""
"    Number",""
"        Estimate","1,646"
"        Margin of Error","±110"
"    Percent Distribution",""
"        Estimate","1,646"
"        Margin of Error","±110"
"    Median income (dollars)",""
"        Estimate","72,500"
"        Margin of Error","±13,231"
"Meade County, South Dakota",""
"    Number",""
"        Estimate","11,801"
"        Margin of Error","±287"
"    Percent Distribution",""
"        Estimate","11,801"
"        Margin of Error","±287"
"    Median income (dollars)",""
"        Estimate","74,161"
"        Margin of Error","±8,730"
"Mellette County, South Dakota",""
"    Number",""
"        Estimate","616"
"        Margin of Error","±58"
"    Percent Distribution",""
"        Estimate","616"
"        Margin of Error","±58"
"    Median income (dollars)",""
"        Estimate","51,364"
"        Margin of Error","±7,729"
"Miner County, South Dakota",""
"    Number",""
"        Estimate","916"
"        Margin of Error","±68"
"    Percent Distribution",""
"        Estimate","916"
"        Margin of Error","±68"
"    Median income (dollars)",""
"        Estimate","72,589"
"        Margin of Error","±5,463"
"Minnehaha County, South Dakota",""
"    Number",""
"        Estimate","82,394"
"        Margin of Error","±593"
"    Percent Distribution",""
"        Estimate","82,394"
"        Margin of Error","±593"
"    Median income (dollars)",""
"        Estimate","76,074"
"        Margin of Error","±2,323"
"Moody County, South Dakota",""
"    Number",""
"        Estimate","2,504"
"        Margin of Error","±97"
"    Percent Distribution",""
"        Estimate","2,504"
"        Margin of Error","±97"
"    Median income (dollars)",""
"        Estimate","77,500"
"        Margin of Error","±6,981"
"Oglala Lakota County, South Dakota",""
"    Number",""
"        Estimate","2,731"
"        Margin of Error","±106"
"    Percent Distribution",""
"        Estimate","2,731"
"        Margin of Error","±106"
"    Median income (dollars)",""
"        Estimate","34,769"
"        Margin of Error","±11,436"
"Pennington County, South Dakota",""
"    Number",""
"        Estimate","45,698"
"        Margin of Error","±537"
"    Percent Distribution",""
"        Estimate","45,698"
"        Margin of Error","±537"
"    Median income (dollars)",""
"        Estimate","70,768"
"        Margin of Error","±2,235"
"Perkins County, South Dakota",""
"    Number",""
"        Estimate","1,254"
"        Margin of Error","±87"
"    Percent Distribution",""
"        Estimate","1,254"
"        Margin of Error","±87"
"    Median income (dollars)",""
"        Estimate","65,455"
"        Margin of Error","±8,206"
"Potter County, South Dakota",""
"    Number",""
"        Estimate","1,021"
"        Margin of Error","±79"
"    Percent Distribution",""
"        Estimate","1,021"
"        Margin of Error","±79"
"    Median income (dollars)",""
"        Estimate","71,726"
"        Margin of Error","±15,190"
"Roberts County, South Dakota",""
"    Number",""
"        Estimate","3,657"
"        Margin of Error","±112"
"    Percent Distribution",""
"        Estimate","3,657"
"        Margin of Error","±112"
"    Median income (dollars)",""
"        Estimate","63,691"
"        Margin of Error","±3,611"
"Sanborn County, South Dakota",""
"    Number",""
"        Estimate","929"
"        Margin of Error","±59"
"    Percent Distribution",""
"        Estimate","929"
"        Margin of Error","±59"
"    Median income (dollars)",""
"        Estimate","69,870"
"        Margin of Error","±5,981"
"Spink County, South Dakota",""
"    Number",""
"        Estimate","2,453"
"        Margin of Error","±117"
"    Percent Distribution",""
"        Estimate","2,453"
"        Margin of Error","±117"
"    Median income (dollars)",""
"        Estimate","73,011"
"        Margin of Error","±8,374"
"Stanley County, South Dakota",""
"    Number",""
"        Estimate","1,272"
"        Margin of Error","±114"
"    Percent Distribution",""
"        Estimate","1,272"
"        Margin of Error","±114"
"    Median income (dollars)",""
"        Estimate","77,000"
"        Margin of Error","±16,839"
"Sully County, South Dakota",""
"    Number",""
"        Estimate","624"
"        Margin of Error","±66"
"    Percent Distribution",""
"        Estimate","624"
"        Margin of Error","±66"
"    Median income (dollars)",""
"        Estimate","70,250"
"        Margin of Error","±4,500"
"Todd County, South Dakota",""
"    Number",""
"        Estimate","2,474"
"        Margin of Error","±73"
"    Percent Distribution",""
"        Estimate","2,474"
"        Margin of Error","±73"
"    Median income (dollars)",""
"        Estimate","39,148"
"        Margin of Error","±2,593"
"Tripp County, South Dakota",""
"    Number",""
"        Estimate","2,265"
"        Margin of Error","±143"
"    Percent Distribution",""
"        Estimate","2,265"
"        Margin of Error","±143"
"    Median income (dollars)",""
"        Estimate","58,854"
"        Margin of Error","±11,792"
"Turner County, South Dakota",""
"    Number",""
"        Estimate","3,535"
"        Margin of Error","±79"
"    Percent Distribution",""
"        Estimate","3,535"
"        Margin of Error","±79"
"    Median income (dollars)",""
"        Estimate","75,283"
"        Margin of Error","±2,596"
"Union County, South Dakota",""
"    Number",""
"        Estimate","7,124"
"        Margin of Error","±140"
"    Percent Distribution",""
"        Estimate","7,124"
"        Margin of Error","±140"
"    Median income (dollars)",""
"        Estimate","84,137"
"        Margin of Error","±6,432"
"Walworth County, South Dakota",""
"    Number",""
"        Estimate","2,396"
"        Margin of Error","±142"
"    Percent Distribution",""
"        Estimate","2,396"
"        Margin of Error","±142"
"    Median income (dollars)",""
"        Estimate","62,722"
"        Margin of Error","±5,041"
"Yankton County, South Dakota",""
"    Number",""
"        Estimate","9,792"
"        Margin of Error","±241"
"    Percent Distribution",""
"        Estimate","9,792"
"        Margin of Error","±241"
"    Median income (dollars)",""
"        Estimate","73,855"
"        Margin of Error","±6,118"
"Ziebach County, South Dakota",""
"    Number",""
"        Estimate","724"
"        Margin of Error","±39"
"    Percent Distribution",""
"        Estimate","724"
"        Margin of Error","±39"
"    Median income (dollars)",""
"        Estimate","47,333"
"        Margin of Error","±6,889"
"Anderson County, Tennessee",""
"    Number",""
"        Estimate","32,069"
"        Margin of Error","±524"
"    Percent Distribution",""
"        Estimate","32,069"
"        Margin of Error","±524"
"    Median income (dollars)",""
"        Estimate","63,171"
"        Margin of Error","±2,466"
"Bedford County, Tennessee",""
"    Number",""
"        Estimate","18,953"
"        Margin of Error","±318"
"    Percent Distribution",""
"        Estimate","18,953"
"        Margin of Error","±318"
"    Median income (dollars)",""
"        Estimate","62,197"
"        Margin of Error","±3,116"
"Benton County, Tennessee",""
"    Number",""
"        Estimate","6,928"
"        Margin of Error","±292"
"    Percent Distribution",""
"        Estimate","6,928"
"        Margin of Error","±292"
"    Median income (dollars)",""
"        Estimate","50,435"
"        Margin of Error","±7,378"
"Bledsoe County, Tennessee",""
"    Number",""
"        Estimate","4,812"
"        Margin of Error","±171"
"    Percent Distribution",""
"        Estimate","4,812"
"        Margin of Error","±171"
"    Median income (dollars)",""
"        Estimate","49,655"
"        Margin of Error","±5,962"
"Blount County, Tennessee",""
"    Number",""
"        Estimate","54,449"
"        Margin of Error","±656"
"    Percent Distribution",""
"        Estimate","54,449"
"        Margin of Error","±656"
"    Median income (dollars)",""
"        Estimate","74,607"
"        Margin of Error","±2,128"
"Bradley County, Tennessee",""
"    Number",""
"        Estimate","41,909"
"        Margin of Error","±549"
"    Percent Distribution",""
"        Estimate","41,909"
"        Margin of Error","±549"
"    Median income (dollars)",""
"        Estimate","63,789"
"        Margin of Error","±2,104"
"Campbell County, Tennessee",""
"    Number",""
"        Estimate","16,709"
"        Margin of Error","±418"
"    Percent Distribution",""
"        Estimate","16,709"
"        Margin of Error","±418"
"    Median income (dollars)",""
"        Estimate","50,260"
"        Margin of Error","±4,099"
"Cannon County, Tennessee",""
"    Number",""
"        Estimate","5,686"
"        Margin of Error","±178"
"    Percent Distribution",""
"        Estimate","5,686"
"        Margin of Error","±178"
"    Median income (dollars)",""
"        Estimate","58,092"
"        Margin of Error","±4,793"
"Carroll County, Tennessee",""
"    Number",""
"        Estimate","11,258"
"        Margin of Error","±310"
"    Percent Distribution",""
"        Estimate","11,258"
"        Margin of Error","±310"
"    Median income (dollars)",""
"        Estimate","50,391"
"        Margin of Error","±2,292"
"Carter County, Tennessee",""
"    Number",""
"        Estimate","24,188"
"        Margin of Error","±420"
"    Percent Distribution",""
"        Estimate","24,188"
"        Margin of Error","±420"
"    Median income (dollars)",""
"        Estimate","48,435"
"        Margin of Error","±3,352"
"Cheatham County, Tennessee",""
"    Number",""
"        Estimate","15,908"
"        Margin of Error","±282"
"    Percent Distribution",""
"        Estimate","15,908"
"        Margin of Error","±282"
"    Median income (dollars)",""
"        Estimate","82,015"
"        Margin of Error","±5,079"
"Chester County, Tennessee",""
"    Number",""
"        Estimate","6,333"
"        Margin of Error","±523"
"    Percent Distribution",""
"        Estimate","6,333"
"        Margin of Error","±523"
"    Median income (dollars)",""
"        Estimate","60,543"
"        Margin of Error","±7,241"
"Claiborne County, Tennessee",""
"    Number",""
"        Estimate","13,456"
"        Margin of Error","±340"
"    Percent Distribution",""
"        Estimate","13,456"
"        Margin of Error","±340"
"    Median income (dollars)",""
"        Estimate","46,587"
"        Margin of Error","±2,995"
"Clay County, Tennessee",""
"    Number",""
"        Estimate","3,201"
"        Margin of Error","±203"
"    Percent Distribution",""
"        Estimate","3,201"
"        Margin of Error","±203"
"    Median income (dollars)",""
"        Estimate","44,712"
"        Margin of Error","±8,661"
"Cocke County, Tennessee",""
"    Number",""
"        Estimate","15,123"
"        Margin of Error","±451"
"    Percent Distribution",""
"        Estimate","15,123"
"        Margin of Error","±451"
"    Median income (dollars)",""
"        Estimate","48,416"
"        Margin of Error","±3,183"
"Coffee County, Tennessee",""
"    Number",""
"        Estimate","22,794"
"        Margin of Error","±394"
"    Percent Distribution",""
"        Estimate","22,794"
"        Margin of Error","±394"
"    Median income (dollars)",""
"        Estimate","60,656"
"        Margin of Error","±2,968"
"Crockett County, Tennessee",""
"    Number",""
"        Estimate","5,494"
"        Margin of Error","±154"
"    Percent Distribution",""
"        Estimate","5,494"
"        Margin of Error","±154"
"    Median income (dollars)",""
"        Estimate","59,049"
"        Margin of Error","±5,027"
"Cumberland County, Tennessee",""
"    Number",""
"        Estimate","27,447"
"        Margin of Error","±464"
"    Percent Distribution",""
"        Estimate","27,447"
"        Margin of Error","±464"
"    Median income (dollars)",""
"        Estimate","58,475"
"        Margin of Error","±2,539"
"Davidson County, Tennessee",""
"    Number",""
"        Estimate","314,578"
"        Margin of Error","±1,422"
"    Percent Distribution",""
"        Estimate","314,578"
"        Margin of Error","±1,422"
"    Median income (dollars)",""
"        Estimate","75,664"
"        Margin of Error","±1,036"
"Decatur County, Tennessee",""
"    Number",""
"        Estimate","4,439"
"        Margin of Error","±261"
"    Percent Distribution",""
"        Estimate","4,439"
"        Margin of Error","±261"
"    Median income (dollars)",""
"        Estimate","46,190"
"        Margin of Error","±5,885"
"DeKalb County, Tennessee",""
"    Number",""
"        Estimate","8,495"
"        Margin of Error","±257"
"    Percent Distribution",""
"        Estimate","8,495"
"        Margin of Error","±257"
"    Median income (dollars)",""
"        Estimate","48,484"
"        Margin of Error","±4,691"
"Dickson County, Tennessee",""
"    Number",""
"        Estimate","21,092"
"        Margin of Error","±374"
"    Percent Distribution",""
"        Estimate","21,092"
"        Margin of Error","±374"
"    Median income (dollars)",""
"        Estimate","73,223"
"        Margin of Error","±3,577"
"Dyer County, Tennessee",""
"    Number",""
"        Estimate","14,884"
"        Margin of Error","±362"
"    Percent Distribution",""
"        Estimate","14,884"
"        Margin of Error","±362"
"    Median income (dollars)",""
"        Estimate","54,973"
"        Margin of Error","±2,303"
"Fayette County, Tennessee",""
"    Number",""
"        Estimate","16,730"
"        Margin of Error","±313"
"    Percent Distribution",""
"        Estimate","16,730"
"        Margin of Error","±313"
"    Median income (dollars)",""
"        Estimate","84,764"
"        Margin of Error","±5,080"
"Fentress County, Tennessee",""
"    Number",""
"        Estimate","7,706"
"        Margin of Error","±249"
"    Percent Distribution",""
"        Estimate","7,706"
"        Margin of Error","±249"
"    Median income (dollars)",""
"        Estimate","50,865"
"        Margin of Error","±4,241"
"Franklin County, Tennessee",""
"    Number",""
"        Estimate","17,097"
"        Margin of Error","±416"
"    Percent Distribution",""
"        Estimate","17,097"
"        Margin of Error","±416"
"    Median income (dollars)",""
"        Estimate","61,553"
"        Margin of Error","±3,725"
"Gibson County, Tennessee",""
"    Number",""
"        Estimate","20,098"
"        Margin of Error","±386"
"    Percent Distribution",""
"        Estimate","20,098"
"        Margin of Error","±386"
"    Median income (dollars)",""
"        Estimate","59,009"
"        Margin of Error","±3,111"
"Giles County, Tennessee",""
"    Number",""
"        Estimate","11,710"
"        Margin of Error","±307"
"    Percent Distribution",""
"        Estimate","11,710"
"        Margin of Error","±307"
"    Median income (dollars)",""
"        Estimate","61,476"
"        Margin of Error","±4,124"
"Grainger County, Tennessee",""
"    Number",""
"        Estimate","9,566"
"        Margin of Error","±241"
"    Percent Distribution",""
"        Estimate","9,566"
"        Margin of Error","±241"
"    Median income (dollars)",""
"        Estimate","51,351"
"        Margin of Error","±3,676"
"Greene County, Tennessee",""
"    Number",""
"        Estimate","28,093"
"        Margin of Error","±512"
"    Percent Distribution",""
"        Estimate","28,093"
"        Margin of Error","±512"
"    Median income (dollars)",""
"        Estimate","54,071"
"        Margin of Error","±3,235"
"Grundy County, Tennessee",""
"    Number",""
"        Estimate","5,106"
"        Margin of Error","±175"
"    Percent Distribution",""
"        Estimate","5,106"
"        Margin of Error","±175"
"    Median income (dollars)",""
"        Estimate","45,573"
"        Margin of Error","±6,540"
"Hamblen County, Tennessee",""
"    Number",""
"        Estimate","25,758"
"        Margin of Error","±411"
"    Percent Distribution",""
"        Estimate","25,758"
"        Margin of Error","±411"
"    Median income (dollars)",""
"        Estimate","52,794"
"        Margin of Error","±3,886"
"Hamilton County, Tennessee",""
"    Number",""
"        Estimate","151,316"
"        Margin of Error","±1,057"
"    Percent Distribution",""
"        Estimate","151,316"
"        Margin of Error","±1,057"
"    Median income (dollars)",""
"        Estimate","72,568"
"        Margin of Error","±1,935"
"Hancock County, Tennessee",""
"    Number",""
"        Estimate","2,773"
"        Margin of Error","±156"
"    Percent Distribution",""
"        Estimate","2,773"
"        Margin of Error","±156"
"    Median income (dollars)",""
"        Estimate","31,995"
"        Margin of Error","±4,201"
"Hardeman County, Tennessee",""
"    Number",""
"        Estimate","9,049"
"        Margin of Error","±353"
"    Percent Distribution",""
"        Estimate","9,049"
"        Margin of Error","±353"
"    Median income (dollars)",""
"        Estimate","46,173"
"        Margin of Error","±3,168"
"Hardin County, Tennessee",""
"    Number",""
"        Estimate","10,833"
"        Margin of Error","±329"
"    Percent Distribution",""
"        Estimate","10,833"
"        Margin of Error","±329"
"    Median income (dollars)",""
"        Estimate","49,149"
"        Margin of Error","±3,567"
"Hawkins County, Tennessee",""
"    Number",""
"        Estimate","23,090"
"        Margin of Error","±469"
"    Percent Distribution",""
"        Estimate","23,090"
"        Margin of Error","±469"
"    Median income (dollars)",""
"        Estimate","55,278"
"        Margin of Error","±2,784"
"Haywood County, Tennessee",""
"    Number",""
"        Estimate","7,166"
"        Margin of Error","±242"
"    Percent Distribution",""
"        Estimate","7,166"
"        Margin of Error","±242"
"    Median income (dollars)",""
"        Estimate","43,513"
"        Margin of Error","±3,321"
"Henderson County, Tennessee",""
"    Number",""
"        Estimate","10,928"
"        Margin of Error","±355"
"    Percent Distribution",""
"        Estimate","10,928"
"        Margin of Error","±355"
"    Median income (dollars)",""
"        Estimate","53,471"
"        Margin of Error","±3,028"
"Henry County, Tennessee",""
"    Number",""
"        Estimate","13,205"
"        Margin of Error","±363"
"    Percent Distribution",""
"        Estimate","13,205"
"        Margin of Error","±363"
"    Median income (dollars)",""
"        Estimate","48,540"
"        Margin of Error","±2,778"
"Hickman County, Tennessee",""
"    Number",""
"        Estimate","9,180"
"        Margin of Error","±284"
"    Percent Distribution",""
"        Estimate","9,180"
"        Margin of Error","±284"
"    Median income (dollars)",""
"        Estimate","57,223"
"        Margin of Error","±2,733"
"Houston County, Tennessee",""
"    Number",""
"        Estimate","3,190"
"        Margin of Error","±123"
"    Percent Distribution",""
"        Estimate","3,190"
"        Margin of Error","±123"
"    Median income (dollars)",""
"        Estimate","54,475"
"        Margin of Error","±2,909"
"Humphreys County, Tennessee",""
"    Number",""
"        Estimate","6,864"
"        Margin of Error","±310"
"    Percent Distribution",""
"        Estimate","6,864"
"        Margin of Error","±310"
"    Median income (dollars)",""
"        Estimate","59,333"
"        Margin of Error","±7,039"
"Jackson County, Tennessee",""
"    Number",""
"        Estimate","4,695"
"        Margin of Error","±180"
"    Percent Distribution",""
"        Estimate","4,695"
"        Margin of Error","±180"
"    Median income (dollars)",""
"        Estimate","41,475"
"        Margin of Error","±5,643"
"Jefferson County, Tennessee",""
"    Number",""
"        Estimate","21,351"
"        Margin of Error","±484"
"    Percent Distribution",""
"        Estimate","21,351"
"        Margin of Error","±484"
"    Median income (dollars)",""
"        Estimate","63,084"
"        Margin of Error","±2,895"
"Johnson County, Tennessee",""
"    Number",""
"        Estimate","7,172"
"        Margin of Error","±273"
"    Percent Distribution",""
"        Estimate","7,172"
"        Margin of Error","±273"
"    Median income (dollars)",""
"        Estimate","52,152"
"        Margin of Error","±2,651"
"Knox County, Tennessee",""
"    Number",""
"        Estimate","197,298"
"        Margin of Error","±1,190"
"    Percent Distribution",""
"        Estimate","197,298"
"        Margin of Error","±1,190"
"    Median income (dollars)",""
"        Estimate","71,662"
"        Margin of Error","±1,187"
"Lake County, Tennessee",""
"    Number",""
"        Estimate","2,022"
"        Margin of Error","±120"
"    Percent Distribution",""
"        Estimate","2,022"
"        Margin of Error","±120"
"    Median income (dollars)",""
"        Estimate","30,500"
"        Margin of Error","±9,013"
"Lauderdale County, Tennessee",""
"    Number",""
"        Estimate","9,214"
"        Margin of Error","±232"
"    Percent Distribution",""
"        Estimate","9,214"
"        Margin of Error","±232"
"    Median income (dollars)",""
"        Estimate","49,205"
"        Margin of Error","±3,388"
"Lawrence County, Tennessee",""
"    Number",""
"        Estimate","16,704"
"        Margin of Error","±326"
"    Percent Distribution",""
"        Estimate","16,704"
"        Margin of Error","±326"
"    Median income (dollars)",""
"        Estimate","53,233"
"        Margin of Error","±2,510"
"Lewis County, Tennessee",""
"    Number",""
"        Estimate","5,153"
"        Margin of Error","±224"
"    Percent Distribution",""
"        Estimate","5,153"
"        Margin of Error","±224"
"    Median income (dollars)",""
"        Estimate","49,477"
"        Margin of Error","±9,939"
"Lincoln County, Tennessee",""
"    Number",""
"        Estimate","14,589"
"        Margin of Error","±288"
"    Percent Distribution",""
"        Estimate","14,589"
"        Margin of Error","±288"
"    Median income (dollars)",""
"        Estimate","63,115"
"        Margin of Error","±3,242"
"Loudon County, Tennessee",""
"    Number",""
"        Estimate","23,438"
"        Margin of Error","±434"
"    Percent Distribution",""
"        Estimate","23,438"
"        Margin of Error","±434"
"    Median income (dollars)",""
"        Estimate","80,296"
"        Margin of Error","±4,474"
"McMinn County, Tennessee",""
"    Number",""
"        Estimate","21,471"
"        Margin of Error","±422"
"    Percent Distribution",""
"        Estimate","21,471"
"        Margin of Error","±422"
"    Median income (dollars)",""
"        Estimate","59,674"
"        Margin of Error","±4,485"
"McNairy County, Tennessee",""
"    Number",""
"        Estimate","9,806"
"        Margin of Error","±285"
"    Percent Distribution",""
"        Estimate","9,806"
"        Margin of Error","±285"
"    Median income (dollars)",""
"        Estimate","50,714"
"        Margin of Error","±2,838"
"Macon County, Tennessee",""
"    Number",""
"        Estimate","9,200"
"        Margin of Error","±284"
"    Percent Distribution",""
"        Estimate","9,200"
"        Margin of Error","±284"
"    Median income (dollars)",""
"        Estimate","56,269"
"        Margin of Error","±4,355"
"Madison County, Tennessee",""
"    Number",""
"        Estimate","39,534"
"        Margin of Error","±511"
"    Percent Distribution",""
"        Estimate","39,534"
"        Margin of Error","±511"
"    Median income (dollars)",""
"        Estimate","58,189"
"        Margin of Error","±2,723"
"Marion County, Tennessee",""
"    Number",""
"        Estimate","11,529"
"        Margin of Error","±378"
"    Percent Distribution",""
"        Estimate","11,529"
"        Margin of Error","±378"
"    Median income (dollars)",""
"        Estimate","58,103"
"        Margin of Error","±4,425"
"Marshall County, Tennessee",""
"    Number",""
"        Estimate","13,268"
"        Margin of Error","±316"
"    Percent Distribution",""
"        Estimate","13,268"
"        Margin of Error","±316"
"    Median income (dollars)",""
"        Estimate","70,829"
"        Margin of Error","±5,770"
"Maury County, Tennessee",""
"    Number",""
"        Estimate","41,260"
"        Margin of Error","±493"
"    Percent Distribution",""
"        Estimate","41,260"
"        Margin of Error","±493"
"    Median income (dollars)",""
"        Estimate","74,162"
"        Margin of Error","±3,436"
"Meigs County, Tennessee",""
"    Number",""
"        Estimate","5,279"
"        Margin of Error","±241"
"    Percent Distribution",""
"        Estimate","5,279"
"        Margin of Error","±241"
"    Median income (dollars)",""
"        Estimate","58,395"
"        Margin of Error","±6,660"
"Monroe County, Tennessee",""
"    Number",""
"        Estimate","19,283"
"        Margin of Error","±375"
"    Percent Distribution",""
"        Estimate","19,283"
"        Margin of Error","±375"
"    Median income (dollars)",""
"        Estimate","56,648"
"        Margin of Error","±4,448"
"Montgomery County, Tennessee",""
"    Number",""
"        Estimate","84,321"
"        Margin of Error","±659"
"    Percent Distribution",""
"        Estimate","84,321"
"        Margin of Error","±659"
"    Median income (dollars)",""
"        Estimate","72,365"
"        Margin of Error","±2,926"
"Moore County, Tennessee",""
"    Number",""
"        Estimate","2,638"
"        Margin of Error","±131"
"    Percent Distribution",""
"        Estimate","2,638"
"        Margin of Error","±131"
"    Median income (dollars)",""
"        Estimate","66,687"
"        Margin of Error","±6,363"
"Morgan County, Tennessee",""
"    Number",""
"        Estimate","7,188"
"        Margin of Error","±259"
"    Percent Distribution",""
"        Estimate","7,188"
"        Margin of Error","±259"
"    Median income (dollars)",""
"        Estimate","57,408"
"        Margin of Error","±6,934"
"Obion County, Tennessee",""
"    Number",""
"        Estimate","12,516"
"        Margin of Error","±278"
"    Percent Distribution",""
"        Estimate","12,516"
"        Margin of Error","±278"
"    Median income (dollars)",""
"        Estimate","53,102"
"        Margin of Error","±2,557"
"Overton County, Tennessee",""
"    Number",""
"        Estimate","8,992"
"        Margin of Error","±275"
"    Percent Distribution",""
"        Estimate","8,992"
"        Margin of Error","±275"
"    Median income (dollars)",""
"        Estimate","46,159"
"        Margin of Error","±5,999"
"Perry County, Tennessee",""
"    Number",""
"        Estimate","3,040"
"        Margin of Error","±246"
"    Percent Distribution",""
"        Estimate","3,040"
"        Margin of Error","±246"
"    Median income (dollars)",""
"        Estimate","50,489"
"        Margin of Error","±7,847"
"Pickett County, Tennessee",""
"    Number",""
"        Estimate","2,106"
"        Margin of Error","±154"
"    Percent Distribution",""
"        Estimate","2,106"
"        Margin of Error","±154"
"    Median income (dollars)",""
"        Estimate","44,591"
"        Margin of Error","±9,395"
"Polk County, Tennessee",""
"    Number",""
"        Estimate","7,144"
"        Margin of Error","±260"
"    Percent Distribution",""
"        Estimate","7,144"
"        Margin of Error","±260"
"    Median income (dollars)",""
"        Estimate","60,227"
"        Margin of Error","±7,411"
"Putnam County, Tennessee",""
"    Number",""
"        Estimate","33,057"
"        Margin of Error","±540"
"    Percent Distribution",""
"        Estimate","33,057"
"        Margin of Error","±540"
"    Median income (dollars)",""
"        Estimate","56,537"
"        Margin of Error","±2,061"
