"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"        Margin of Error","±200"
"    Percent Distribution",""
"        Estimate","3,693"
"        Margin of Error","±200"
"    Median income (dollars)",""
"        Estimate","42,236"
"        Margin of Error","±4,455"
"Winston County, Alabama",""
"    Number",""
"        Estimate","9,328"
"        Margin of Error","±300"
"    Percent Distribution",""
"        Estimate","9,328"
"        Margin of Error","±300"
"    Median income (dollars)",""
"        Estimate","48,032"
"        Margin of Error","±6,325"
"Aleutians East Borough, Alaska",""
"    Number",""
"        Estimate","998"
"        Margin of Error","±92"
"    Percent Distribution",""
"        Estimate","998"
"        Margin of Error","±92"
"    Median income (dollars)",""
"        Estimate","72,692"
"        Margin of Error","±19,158"
"Aleutians West Census Area, Alaska",""
"    Number",""
"        Estimate","977"
"        Margin of Error","±190"
"    Percent Distribution",""
"        Estimate","977"
"        Margin of Error","±190"
"    Median income (dollars)",""
"        Estimate","107,344"
"        Margin of Error","±14,494"
"Anchorage Municipality, Alaska",""
"    Number",""
"        Estimate","107,868"
"        Margin of Error","±4,224"
"    Percent Distribution",""
"        Estimate","107,868"
"        Margin of Error","±4,224"
"    Median income (dollars)",""
"        Estimate","98,152"
"        Margin of Error","±2,660"
"Bethel Census Area, Alaska",""
"    Number",""
"        Estimate","4,661"
"        Margin of Error","±97"
"    Percent Distribution",""
"        Estimate","4,661"
"        Margin of Error","±97"
"    Median income (dollars)",""
"        Estimate","70,616"
"        Margin of Error","±4,453"
"Bristol Bay Borough, Alaska",""
"    Number",""
"        Estimate","283"
"        Margin of Error","±38"
"    Percent Distribution",""
"        Estimate","283"
"        Margin of Error","±38"
"    Median income (dollars)",""
"        Estimate","100,625"
"        Margin of Error","±14,748"
"Chugach Census Area, Alaska",""
"    Number",""
"        Estimate","2,679"
"        Margin of Error","±257"
"    Percent Distribution",""
"        Estimate","2,679"
"        Margin of Error","±257"
"    Median income (dollars)",""
"        Estimate","88,565"
"        Margin of Error","±9,267"
"Copper River Census Area, Alaska",""
"    Number",""
"        Estimate","1,146"
"        Margin of Error","±85"
"    Percent Distribution",""
"        Estimate","1,146"
"        Margin of Error","±85"
"    Median income (dollars)",""
"        Estimate","75,053"
"        Margin of Error","±7,307"
"Denali Borough, Alaska",""
"    Number",""
"        Estimate","533"
"        Margin of Error","±72"
"    Percent Distribution",""
"        Estimate","533"
"        Margin of Error","±72"
"    Median income (dollars)",""
"        Estimate","88,935"
"        Margin of Error","±10,432"
"Dillingham Census Area, Alaska",""
"    Number",""
"        Estimate","1,383"
"        Margin of Error","±192"
"    Percent Distribution",""
"        Estimate","1,383"
"        Margin of Error","±192"
"    Median income (dollars)",""
"        Estimate","74,250"
"        Margin of Error","±7,801"
"Fairbanks North Star Borough, Alaska",""
"    Number",""
"        Estimate","36,176"
"        Margin of Error","±2,916"
"    Percent Distribution",""
"        Estimate","36,176"
"        Margin of Error","±2,916"
"    Median income (dollars)",""
"        Estimate","84,722"
"        Margin of Error","±5,460"
"Haines Borough, Alaska",""
"    Number",""
"        Estimate","899"
"        Margin of Error","±95"
"    Percent Distribution",""
"        Estimate","899"
"        Margin of Error","±95"
"    Median income (dollars)",""
"        Estimate","72,607"
"        Margin of Error","±10,612"
"Hoonah-Angoon Census Area, Alaska",""
"    Number",""
"        Estimate","922"
"        Margin of Error","±72"
"    Percent Distribution",""
"        Estimate","922"
"        Margin of Error","±72"
"    Median income (dollars)",""
"        Estimate","62,500"
"        Margin of Error","±8,669"
"Juneau City and Borough, Alaska",""
"    Number",""
"        Estimate","13,138"
"        Margin of Error","±230"
"    Percent Distribution",""
"        Estimate","13,138"
"        Margin of Error","±230"
"    Median income (dollars)",""
"        Estimate","100,513"
"        Margin of Error","±7,275"
"Kenai Peninsula Borough, Alaska",""
"    Number",""
"        Estimate","23,902"
"        Margin of Error","±415"
"    Percent Distribution",""
"        Estimate","23,902"
"        Margin of Error","±415"
"    Median income (dollars)",""
"        Estimate","77,722"
"        Margin of Error","±5,508"
"Ketchikan Gateway Borough, Alaska",""
"    Number",""
"        Estimate","5,621"
"        Margin of Error","±143"
"    Percent Distribution",""
"        Estimate","5,621"
"        Margin of Error","±143"
"    Median income (dollars)",""
"        Estimate","89,155"
"        Margin of Error","±6,912"
"Kodiak Island Borough, Alaska",""
"    Number",""
"        Estimate","4,608"
"        Margin of Error","±416"
"    Percent Distribution",""
"        Estimate","4,608"
"        Margin of Error","±416"
"    Median income (dollars)",""
"        Estimate","83,716"
"        Margin of Error","±11,974"
"Kusilvak Census Area, Alaska",""
"    Number",""
"        Estimate","1,891"
"        Margin of Error","±54"
"    Percent Distribution",""
"        Estimate","1,891"
"        Margin of Error","±54"
"    Median income (dollars)",""
"        Estimate","48,233"
"        Margin of Error","±6,286"
"Lake and Peninsula Borough, Alaska",""
"    Number",""
"        Estimate","322"
"        Margin of Error","±49"
"    Percent Distribution",""
"        Estimate","322"
"        Margin of Error","±49"
"    Median income (dollars)",""
"        Estimate","64,000"
"        Margin of Error","±6,855"
"Matanuska-Susitna Borough, Alaska",""
"    Number",""
"        Estimate","39,682"
"        Margin of Error","±319"
"    Percent Distribution",""
"        Estimate","39,682"
"        Margin of Error","±319"
"    Median income (dollars)",""
"        Estimate","90,625"
"        Margin of Error","±2,552"
"Nome Census Area, Alaska",""
"    Number",""
"        Estimate","2,786"
"        Margin of Error","±92"
"    Percent Distribution",""
"        Estimate","2,786"
"        Margin of Error","±92"
"    Median income (dollars)",""
"        Estimate","76,643"
"        Margin of Error","±6,111"
"North Slope Borough, Alaska",""
"    Number",""
"        Estimate","2,205"
"        Margin of Error","±96"
"    Percent Distribution",""
"        Estimate","2,205"
"        Margin of Error","±96"
"    Median income (dollars)",""
"        Estimate","86,313"
"        Margin of Error","±14,903"
"Northwest Arctic Borough, Alaska",""
"    Number",""
"        Estimate","1,817"
"        Margin of Error","±72"
"    Percent Distribution",""
"        Estimate","1,817"
"        Margin of Error","±72"
"    Median income (dollars)",""
"        Estimate","81,298"
"        Margin of Error","±6,397"
"Petersburg Borough, Alaska",""
"    Number",""
"        Estimate","1,319"
"        Margin of Error","±163"
"    Percent Distribution",""
"        Estimate","1,319"
"        Margin of Error","±163"
"    Median income (dollars)",""
"        Estimate","77,026"
"        Margin of Error","±9,342"
"Prince of Wales-Hyder Census Area, Alaska",""
"    Number",""
"        Estimate","2,348"
"        Margin of Error","±87"
"    Percent Distribution",""
"        Estimate","2,348"
"        Margin of Error","±87"
"    Median income (dollars)",""
"        Estimate","59,079"
"        Margin of Error","±2,977"
"Sitka City and Borough, Alaska",""
"    Number",""
"        Estimate","3,503"
"        Margin of Error","±158"
"    Percent Distribution",""
"        Estimate","3,503"
"        Margin of Error","±158"
"    Median income (dollars)",""
"        Estimate","101,207"
"        Margin of Error","±4,219"
"Skagway Municipality, Alaska",""
"    Number",""
"        Estimate","451"
"        Margin of Error","±59"
"    Percent Distribution",""
"        Estimate","451"
"        Margin of Error","±59"
"    Median income (dollars)",""
"        Estimate","78,594"
"        Margin of Error","±14,097"
"Southeast Fairbanks Census Area, Alaska",""
"    Number",""
"        Estimate","2,311"
"        Margin of Error","±143"
"    Percent Distribution",""
"        Estimate","2,311"
"        Margin of Error","±143"
"    Median income (dollars)",""
"        Estimate","74,223"
"        Margin of Error","±10,353"
"Wrangell City and Borough, Alaska",""
"    Number",""
"        Estimate","912"
"        Margin of Error","±69"
"    Percent Distribution",""
"        Estimate","912"
"        Margin of Error","±69"
"    Median income (dollars)",""
"        Estimate","64,545"
"        Margin of Error","±9,941"
"Yakutat City and Borough, Alaska",""
"    Number",""
"        Estimate","207"
"        Margin of Error","±44"
"    Percent Distribution",""
"        Estimate","207"
"        Margin of Error","±44"
"    Median income (dollars)",""
"        Estimate","80,625"
"        Margin of Error","±27,497"
"Yukon-Koyukuk Census Area, Alaska",""
"    Number",""
"        Estimate","2,317"
"        Margin of Error","±211"
"    Percent Distribution",""
"        Estimate","2,317"
"        Margin of Error","±211"
"    Median income (dollars)",""
"        Estimate","52,642"
"        Margin of Error","±8,978"
"Apache County, Arizona",""
"    Number",""
"        Estimate","20,439"
"        Margin of Error","±408"
"    Percent Distribution",""
"        Estimate","20,439"
"        Margin of Error","±408"
"    Median income (dollars)",""
"        Estimate","40,338"
"        Margin of Error","±2,657"
"Cochise County, Arizona",""
"    Number",""
"        Estimate","50,476"
"        Margin of Error","±767"
"    Percent Distribution",""
"        Estimate","50,476"
"        Margin of Error","±767"
"    Median income (dollars)",""
"        Estimate","58,970"
"        Margin of Error","±1,831"
"Coconino County, Arizona",""
"    Number",""
"        Estimate","53,642"
"        Margin of Error","±744"
"    Percent Distribution",""
"        Estimate","53,642"
"        Margin of Error","±744"
"    Median income (dollars)",""
"        Estimate","69,748"
"        Margin of Error","±2,305"
"Gila County, Arizona",""
"    Number",""
"        Estimate","23,253"
"        Margin of Error","±658"
"    Percent Distribution",""
"        Estimate","23,253"
"        Margin of Error","±658"
"    Median income (dollars)",""
"        Estimate","59,089"
"        Margin of Error","±2,938"
"Graham County, Arizona",""
"    Number",""
"        Estimate","12,460"
"        Margin of Error","±262"
"    Percent Distribution",""
"        Estimate","12,460"
"        Margin of Error","±262"
"    Median income (dollars)",""
"        Estimate","67,326"
"        Margin of Error","±4,549"
"Greenlee County, Arizona",""
"    Number",""
"        Estimate","3,444"
"        Margin of Error","±189"
"    Percent Distribution",""
"        Estimate","3,444"
"        Margin of Error","±189"
"    Median income (dollars)",""
"        Estimate","75,239"
"        Margin of Error","±5,163"
"La Paz County, Arizona",""
"    Number",""
"        Estimate","8,887"
"        Margin of Error","±292"
"    Percent Distribution",""
"        Estimate","8,887"
"        Margin of Error","±292"
"    Median income (dollars)",""
"        Estimate","49,506"
"        Margin of Error","±4,816"
"Maricopa County, Arizona",""
"    Number",""
"        Estimate","1,697,342"
"        Margin of Error","±3,927"
"    Percent Distribution",""
"        Estimate","1,697,342"
"        Margin of Error","±3,927"
"    Median income (dollars)",""
"        Estimate","85,518"
"        Margin of Error","±635"
"Mohave County, Arizona",""
"    Number",""
"        Estimate","96,899"
"        Margin of Error","±1,037"
"    Percent Distribution",""
"        Estimate","96,899"
"        Margin of Error","±1,037"
"    Median income (dollars)",""
"        Estimate","55,799"
"        Margin of Error","±1,721"
"Navajo County, Arizona",""
"    Number",""
"        Estimate","39,171"
"        Margin of Error","±687"
"    Percent Distribution",""
"        Estimate","39,171"
"        Margin of Error","±687"
"    Median income (dollars)",""
"        Estimate","52,752"
"        Margin of Error","±2,280"
"Pima County, Arizona",""
"    Number",""
"        Estimate","430,965"
"        Margin of Error","±1,683"
"    Percent Distribution",""
"        Estimate","430,965"
"        Margin of Error","±1,683"
"    Median income (dollars)",""
"        Estimate","67,929"
"        Margin of Error","±992"
"Pinal County, Arizona",""
"    Number",""
"        Estimate","157,193"
"        Margin of Error","±1,307"
"    Percent Distribution",""
"        Estimate","157,193"
"        Margin of Error","±1,307"
"    Median income (dollars)",""
"        Estimate","77,588"
"        Margin of Error","±1,730"
"Santa Cruz County, Arizona",""
"    Number",""
"        Estimate","16,816"
"        Margin of Error","±318"
"    Percent Distribution",""
"        Estimate","16,816"
"        Margin of Error","±318"
"    Median income (dollars)",""
"        Estimate","53,614"
"        Margin of Error","±3,573"
"Yavapai County, Arizona",""
"    Number",""
"        Estimate","108,900"
