"Label (Grouping)","Population 1 year and over"
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Jefferson County, Alabama",""
"    Total",""
"        Estimate","662,446"
"        Margin of Error","±764"
"    Moved; within same county",""
"        Estimate","8.7%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.1"
"Lamar County, Alabama",""
"    Total",""
"        Estimate","13,642"
"        Margin of Error","±72"
"    Moved; within same county",""
"        Estimate","3.0%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","0.9%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.5"
"Lauderdale County, Alabama",""
"    Total",""
"        Estimate","94,133"
"        Margin of Error","±273"
"    Moved; within same county",""
"        Estimate","8.7%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","4.6%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","3.5%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Lawrence County, Alabama",""
"    Total",""
"        Estimate","32,750"
"        Margin of Error","±143"
"    Moved; within same county",""
"        Estimate","3.7%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"Lee County, Alabama",""
"    Total",""
"        Estimate","175,758"
"        Margin of Error","±348"
"    Moved; within same county",""
"        Estimate","6.7%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","4.1%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","3.8%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.2"
"Limestone County, Alabama",""
"    Total",""
"        Estimate","106,653"
"        Margin of Error","±237"
"    Moved; within same county",""
"        Estimate","4.7%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.7%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","2.3%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Lowndes County, Alabama",""
"    Total",""
"        Estimate","9,879"
"        Margin of Error","±81"
"    Moved; within same county",""
"        Estimate","2.9%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","1.9%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"Macon County, Alabama",""
"    Total",""
"        Estimate","18,830"
"        Margin of Error","±63"
"    Moved; within same county",""
"        Estimate","2.5%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","3.1%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.5"
"Madison County, Alabama",""
"    Total",""
"        Estimate","392,299"
"        Margin of Error","±638"
"    Moved; within same county",""
"        Estimate","8.6%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","3.8%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.1"
"Marengo County, Alabama",""
"    Total",""
"        Estimate","18,852"
"        Margin of Error","±88"
"    Moved; within same county",""
"        Estimate","3.6%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","2.3%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Marion County, Alabama",""
"    Total",""
"        Estimate","28,908"
"        Margin of Error","±91"
"    Moved; within same county",""
"        Estimate","4.9%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Marshall County, Alabama",""
"    Total",""
"        Estimate","96,971"
"        Margin of Error","±313"
"    Moved; within same county",""
"        Estimate","4.8%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Mobile County, Alabama",""
"    Total",""
"        Estimate","408,077"
"        Margin of Error","±710"
"    Moved; within same county",""
"        Estimate","7.6%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","1.1%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","2.1%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Monroe County, Alabama",""
"    Total",""
"        Estimate","19,525"
"        Margin of Error","±63"
"    Moved; within same county",""
"        Estimate","3.3%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","2.0%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Montgomery County, Alabama",""
"    Total",""
"        Estimate","225,102"
"        Margin of Error","±371"
"    Moved; within same county",""
"        Estimate","11.1%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","3.3%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","3.3%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","1.3%"
"        Margin of Error","±0.5"
"Morgan County, Alabama",""
"    Total",""
"        Estimate","122,009"
"        Margin of Error","±345"
"    Moved; within same county",""
"        Estimate","5.4%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Perry County, Alabama",""
"    Total",""
"        Estimate","8,231"
"        Margin of Error","±19"
"    Moved; within same county",""
"        Estimate","6.3%"
"        Margin of Error","±3.3"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±2.6"
"    Moved; from different  state",""
"        Estimate","3.2%"
"        Margin of Error","±1.5"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.6"
"Pickens County, Alabama",""
"    Total",""
"        Estimate","18,627"
"        Margin of Error","±96"
"    Moved; within same county",""
"        Estimate","3.4%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","5.3%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.4"
"Pike County, Alabama",""
"    Total",""
"        Estimate","32,700"
"        Margin of Error","±101"
"    Moved; within same county",""
"        Estimate","6.1%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","4.7%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","2.7%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.4"
"Randolph County, Alabama",""
"    Total",""
"        Estimate","22,168"
"        Margin of Error","±75"
"    Moved; within same county",""
"        Estimate","2.5%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Russell County, Alabama",""
"    Total",""
"        Estimate","58,171"
"        Margin of Error","±226"
"    Moved; within same county",""
"        Estimate","5.5%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","5.5%"
"        Margin of Error","±1.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"St. Clair County, Alabama",""
"    Total",""
"        Estimate","91,869"
"        Margin of Error","±245"
"    Moved; within same county",""
"        Estimate","5.9%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","4.1%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Shelby County, Alabama",""
"    Total",""
"        Estimate","224,701"
"        Margin of Error","±354"
"    Moved; within same county",""
"        Estimate","5.3%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","4.6%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","2.1%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Sumter County, Alabama",""
"    Total",""
"        Estimate","11,942"
"        Margin of Error","±56"
"    Moved; within same county",""
"        Estimate","2.7%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","6.7%"
"        Margin of Error","±2.5"
"    Moved; from different  state",""
"        Estimate","5.7%"
"        Margin of Error","±2.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"Talladega County, Alabama",""
"    Total",""
"        Estimate","80,322"
"        Margin of Error","±239"
"    Moved; within same county",""
"        Estimate","4.9%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","4.8%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Tallapoosa County, Alabama",""
"    Total",""
"        Estimate","40,613"
"        Margin of Error","±144"
"    Moved; within same county",""
"        Estimate","5.6%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","4.2%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Tuscaloosa County, Alabama",""
"    Total",""
"        Estimate","231,552"
"        Margin of Error","±507"
"    Moved; within same county",""
"        Estimate","9.1%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.5%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","3.5%"
